Player frame,Enemy Frame,Player TID/SID,Enemy TID/SID,Species,Held Item,Moves,Pokeball,Egg,Enemy Mon
3575,9,22916 40353,61120 64341,0xb66a,0x66f4,0xb72c 0x6626 0xb723 0x66fa,8,1,Yasu Ninjask
3575,18,22916 40353,15054 4759,0x6273,0x8f36,0x6387 0x8fcc 0x627c 0x8e56,2,0,Jonah Wailmer 3
3575,21,22916 40353,13662 49815,0x6c6b,0x5f36,0x6cbf 0x5f52 0x6dcb 0x5fce,10,1,Alex Natu
3575,23,22916 40353,2513 50333,0x5055,0x593c,0x5023 0x593c 0x58c0 0x593c,1,1,Johanna Goldeen
3575,37,22916 40353,21131 57485,0x0a3d,0x7d2c,0x0b48 0x7d0d 0x0b41 0x7d65,4,1,Lydia Shroomish
3575,37,22916 40353,21131 57485,0x0b0f,0x7d2c,0x0a3d 0x7d2c 0x0d38 0x7d2c,3,1,Robin Shroomish
3575,81,22916 40353,6846 61148,0x420f,0x737d,0x430d 0x734d 0x432b 0x734b,6,1,Denise Wingull
3575,81,22916 40353,6846 61148,0x433a,0x737d,0x4270 0x737d 0xe33a 0x737d,6,1,Reed Carvanha 1-2
3575,82,22916 40353,61148 1531,0xb63e,0x985a,0xb777 0x9845 0xb783 0x9916,2,0,Kim & Iris Swablu
3575,95,22916 40353,24939 27258,0x399d,0xf7db,0x38ee 0xf726 0x38ef 0xf7db,1,1,Karen Whismur
3575,109,22916 40353,53601 35013,0x88e5,0x1564,0x88ad 0x1564 0x1993 0x1564,2,0,Henry Tentacool
3575,118,22916 40353,4099 50558,0x480f,0x58df,0x49ef 0x58bb 0x48dc 0x5881,8,1,Tammy Ralts
3575,123,22916 40353,56847 27030,0x8603,0xf437,0x87a6 0xf46a 0x87e3 0xf453,8,1,Ted Ralts
3575,141,22916 40353,3127 13664,0x55b3,0xa8c1,0x55f8 0xa8c1 0xd48f 0xa8c1,2,0,Ruben Graveler
3575,162,22916 40353,55934 16862,0x829f,0xdc7f,0x8350 0xdd24 0x8372 0xdc8b,3,1,Michelle Medicham
3575,168,22916 40353,55427 53248,0x8036,0x4da1,0x8173 0x4dc3 0x8116 0x4dc9,9,1,Chester/Benny Swellow
3575,168,22916 40353,55427 53248,0x8185,0x4da1,0x8122 0x4d8d 0x8155 0x4d8a,9,1,Rodney Gyarados
3575,168,22916 40353,55427 53248,0x8107,0x4da1,0x8185 0x4da1 0x3eed 0x4da1,9,1,Jack Gyarados
3575,168,22916 40353,55427 53248,0x8107,0x4da1,0x8185 0x4da1 0x3eed 0x4da1,9,1,Ronald Gyarados 1
3575,174,22916 40353,13260 63303,0x6a48,0x6ae6,0x6aff 0x6ae6 0x6968 0x6ae6,2,1,Janice Marill
3575,174,22916 40353,13260 63303,0x6a48,0x6ae6,0x6bc3 0x6ae6 0xbb11 0x6ae6,9,1,Aaron Bagon
3575,181,22916 40353,29836 59671,0x2c47,0x74b6,0x2df4 0x74a4 0x2c12 0x75bf,12,1,Kiyo Makuhita 1-2
3575,190,22916 40353,31942 21581,0x2462,0xc9ec,0x2563 0xc9c1 0x2565 0xc9f1,9,1,Isaac Zigzagoon
3575,194,22916 40353,47147 61658,0xe0c8,0x6d7b,0xe174 0x6d4d 0xe18b 0x6d9a,9,1,Nicolas Altaria 1-2
3575,194,22916 40353,47147 61658,0xe0e0,0x6d7b,0xe08b 0x6d92 0xe153 0x6d69,9,1,Yuji Makuhita
3575,201,22916 40353,48170 57406,0xe4ca,0x7d9f,0xe5ce 0x7dc2 0xe56b 0x7d72,8,1,Cyndy Meditite
3575,236,22916 40353,6716 3619,0x43b8,0x9382,0x43f8 0x9382 0x9eec 0x9382,1,0,Alexis Kadabra
3575,246,22916 40353,8121 51683,0x463d,0x5442,0x4616 0x5442 0x4fda 0x5442,8,1,Sally Oddish
3575,251,22916 40353,23113 44730,0x02e3,0x331b,0x03a5 0x33c9 0x03aa 0x3315,6,0,Kent Ninjask
3575,267,22916 40353,54281 26126,0x8cb8,0xfbaf,0x8dbd 0xfbbe 0x8dbb 0xfbcd,1,1,Chad Wingull
3575,291,22916 40353,50348 44205,0x9d28,0x310c,0x9da9 0x310c 0xd163 0x310c,6,0,Austin Magikarp
3575,301,22916 40353,1982 29394,0x5e79,0xef73,0x5e38 0xef36 0x5efb 0xee64,5,1,Yuji Machoke
