GAEM,1,2,3,4,5,6,7,8,9,10,11,12
GAME,1,2,3,4,5,6,10,11,12,7,8,9
GEAM,1,2,3,7,8,9,4,5,6,10,11,12
GEMA,1,2,3,10,11,12,4,5,6,7,8,9
GMAE,1,2,3,7,8,9,10,11,12,4,5,6
GMEA,1,2,3,10,11,12,7,8,9,4,5,6
AGEM,4,5,6,1,2,3,7,8,9,10,11,12
AGME,4,5,6,1,2,3,10,11,12,7,8,9
AEGM,7,8,9,1,2,3,4,5,6,10,11,12
AEMG,10,11,12,1,2,3,4,5,6,7,8,9
AMGE,7,8,9,1,2,3,10,11,12,4,5,6
AMEG,10,11,12,1,2,3,7,8,9,4,5,6
EGAM,4,5,6,7,8,9,1,2,3,10,11,12
EGMA,4,5,6,10,11,12,1,2,3,7,8,9
EAGM,7,8,9,4,5,6,1,2,3,10,11,12
EAMG,10,11,12,4,5,6,1,2,3,7,8,9
EMGA,7,8,9,10,11,12,1,2,3,4,5,6
EMAG,10,11,12,7,8,9,1,2,3,4,5,6
MGAE,4,5,6,7,8,9,10,11,12,1,2,3
MGEA,4,5,6,10,11,12,7,8,9,1,2,3
MAGE,7,8,9,4,5,6,10,11,12,1,2,3
MAEG,10,11,12,4,5,6,7,8,9,1,2,3
MEGA,7,8,9,10,11,12,4,5,6,1,2,3
MEAG,10,11,12,7,8,9,4,5,6,1,2,3
